shipping_cost,package_weight
21854.31,4.473
47782.14,10.119
37939.73,7.873
31939.63,6.215
12020.84,2.135
12019.75,2.552
7613.76,1.127
43977.93,9.345
32050.18,6.764
36863.27,7.232
5926.3,0.671
48645.94,10.135
42459.92,8.458
14555.26,3.282
13182.12,2.158
13253.2,2.471
18690.9,3.74
28614.04,5.737
24437.53,4.752
18105.31,3.808
32533.38,6.186
11277.22,2.213
18146.51,3.665
21486.28,4.452
25523.15,5.318
40332.92,7.729
13985.32,2.337
28140.55,6.011
31658.66,6.431
7090.27,1.194
32339.52,6.933
12673.59,2.569
7927.32,1.939
47699.85,9.56
48453.44,10.309
41377.88,8.802
18707.62,3.667
9395.25,2.171
35790.49,7.352
24806.86,5.372
10491.72,1.809
27282.96,5.662
6547.48,1.627
45919.42,8.656
16645.1,2.974
34813.5,6.351
19027.0,3.725
28403.06,5.896
29601.96,6.371
13318.45,2.686
48631.31,10.215
39880.98,7.562
47277.45,8.944
45267.23,9.037
31905.5,6.496
46484.34,9.287
8982.16,1.176
13819.23,2.737
7035.23,1.016
19639.86,4.129
22490.48,4.608
17210.71,3.16
42293.19,8.304
21053.9,3.893
17642.05,3.51
29421.32,6.171
11341.59,1.973
41098.86,8.371
8354.78,1.512
49409.91,9.644
39751.01,7.918
13942.21,2.478
5248.5,0.884
41695.76,7.98
36808.58,7.951
37805.32,7.572
39707.17,7.732
8332.01,1.731
21130.96,4.192
10214.11,1.977
43839.65,8.952
33048.42,6.837
19890.41,3.819
7860.13,1.399
18994.2,3.716
19633.25,3.236
37832.28,7.112
33690.09,7.148
44924.57,9.478
26249.67,5.175
10381.74,2.249
37096.02,7.513
39235.33,8.771
30257.47,6.387
39693.52,7.9
27220.8,5.157
28522.98,5.223
24239.35,4.909
6143.86,1.002
9855.11,1.544
6414.31,1.089
33638.47,6.403
19146.02,4.335
27885.68,5.842
45840.49,9.166
16218.15,3.688
23467.23,4.717
38999.8,7.542
15295.92,3.516
8464.1,1.854
18038.82,3.297
12254.96,2.394
46836.39,9.105
41365.42,7.858
33503.17,6.978
44215.73,9.416
41165.24,7.813
13395.65,2.848
45165.15,8.838
29270.4,5.708
41334.81,8.089
45324.11,8.806
19310.16,3.877
9952.34,1.741
15257.08,3.133
24219.85,4.829
41810.66,8.29
43732.88,8.474
5312.85,0.89
27983.63,5.823
23783.5,4.907
14994.85,2.706
10393.94,2.109
20192.68,4.264
47430.94,8.985
19544.13,4.072
28345.58,5.47
36635.85,7.498
21363.33,4.044
48730.19,9.205
48310.13,9.174
16330.2,3.28
27376.18,5.553
18539.52,3.437
17817.82,3.755
6659.91,0.834
32430.4,6.466
27620.56,5.161
7316.54,1.268
17539.09,3.522
45871.96,8.916
15780.29,3.041
11520.27,2.606
27025.37,5.232
49354.27,10.122
15892.49,2.84
35246.1,7.208
39272.88,8.287
15693.69,2.397
37769.74,7.315
21550.24,4.483
33453.76,6.63
33508.84,6.813
29109.86,5.641
9063.04,1.839
42588.61,8.471
19435.1,4.237
13393.33,2.755
6834.88,1.468
31590.18,6.194
35490.4,6.952
5746.45,1.02
28044.19,5.727
15192.31,2.912
34032.78,6.893
12846.49,3.192
36092.2,7.48
22403.09,4.383
47152.85,9.791
11188.44,2.115
20347.99,3.458
10106.31,1.719
46611.21,8.761
44480.27,8.791
16607.37,3.327
34699.28,7.443
41775.0,8.453
29984.04,5.931
28834.28,6.016
15883.35,2.513
9189.62,1.909
45374.71,9.306
45518.81,8.66
33489.57,7.041
20256.34,4.153
20714.43,4.018
37668.01,7.723
45369.96,9.755
44918.89,9.038
40094.4,8.093
33891.42,6.64
8786.3,1.502
12273.29,2.704
45434.94,8.83
32289.31,6.479
5413.87,0.939
9566.22,2.057
34857.58,7.072
5227.77,1.357
12236.36,2.294
29693.02,5.858
36135.28,6.933
34338.26,6.734
15092.12,3.132
37048.06,7.637
15676.21,2.859
19642.99,4.189
38592.11,8.125
34233.48,6.971
43215.05,9.206
34592.58,6.686
30573.89,5.741
9215.36,1.309
21547.21,4.758
16934.11,3.583
15979.53,3.179
48785.47,9.841
22689.4,4.2
45142.09,9.762
33401.24,6.719
40766.51,8.186
27618.67,5.741
30960.67,6.336
