study_hours,passed_exam
4.74,1
13.3,1
12.16,1
10.22,1
12.91,1
13.14,1
10.92,1
12.72,1
10.76,1
10.52,1
9.66,1
11.54,1
3.22,0
13.33,1
13.21,1
1.41,0
12.56,1
2.8,0
5.69,0
11.41,1
3.25,0
12.45,1
12.65,1
8.1,0
1.09,0
5.02,0
9.64,1
14.74,1
9.85,1
4.64,0
9.88,1
8.56,1
11.92,1
2.5,0
11.65,1
8.58,1
14.48,1
5.79,0
9.86,1
14.05,1
2.44,0
14.12,1
10.63,1
1.95,0
5.21,0
10.91,1
1.94,0
9.15,1
5.84,1
9.69,1
1.64,0
13.2,1
14.63,1
14.56,1
11.5,1
2.82,0
11.62,1
1.34,0
1.31,0
5.53,0
7.84,1
11.79,1
10.57,1
7.24,1
4.83,0
14.96,1
6.97,1
7.32,1
3.29,0
12.13,1
10.71,1
4.09,0
2.15,0
10.53,1
10.16,0
4.83,1
14.31,1
3.11,0
7.05,1
14.21,1
6.88,0
9.94,1
6.57,1
4.84,0
14.78,1
6.73,0
13.52,1
4.22,0
3.98,0
1.44,0
10.12,1
6.16,0
13.1,1
7.62,1
14.55,1
3.6,0
13.16,1
11.87,1
11.79,1
12.83,1
11.65,1
9.77,1
2.84,1
1.46,0
13.89,1
9.63,1
12.15,1
7.74,1
2.64,1
2.75,0
10.6,0
7.02,0
3.81,0
7.88,1
1.9,0
9.15,1
4.77,0
12.17,1
5.35,1
7.37,1
1.16,0
2.01,0
6.49,0
7.72,1
9.4,1
5.08,0
10.73,1
13.04,1
11.92,1
1.55,0
7.73,0
2.47,0
4.39,0
14.81,1
2.99,0
7.98,0
9.65,1
10.83,1
8.84,1
1.14,0
5.57,0
8.25,0
2.23,0
5.91,0
1.46,0
2.1,0
6.56,1
2.86,0
8.95,1
10.65,1
12.21,1
3.8,1
3.34,0
2.46,0
9.91,1
10.89,1
1.44,0
14.11,1
1.73,0
8.58,1
10.93,1
13.19,1
11.0,1
12.22,1
5.75,1
12.41,1
2.12,0
13.53,1
8.67,1
12.44,1
7.33,1
10.01,0
8.37,1
11.24,1
2.14,0
1.84,0
4.46,0
3.23,0
13.2,1
4.07,0
14.66,1
5.72,0
3.55,1
12.06,1
10.22,1
7.97,1
8.78,0
11.07,1
4.2,0
14.95,1
14.65,1
10.1,1
3.79,0
10.52,1
2.01,0
1.43,0
4.61,0
7.48,1
13.16,1
11.18,1
11.4,1
6.96,1
5.84,1
6.19,1
14.83,1
1.56,0
13.14,1
9.1,1
7.14,0
11.15,1
7.81,0
13.23,1
13.61,1
6.9,1
4.88,0
9.29,1
13.77,1
3.95,0
9.72,1
9.84,1
11.26,0
2.84,0
11.02,1
13.73,1
3.52,0
4.33,0
