study_hours,attendance,previous_grade,assignments_completed,academic_risk
9.95,42.89,2.81,8,1
16.61,61.6,3.11,6,0
9.73,97.41,4.69,1,0
7.8,70.02,4.0,5,0
10.39,65.96,4.36,1,1
16.74,67.46,3.36,0,0
7.37,52.53,3.89,6,1
4.3,62.12,2.75,1,1
14.53,62.19,4.12,1,0
16.69,43.14,3.28,10,0
2.91,86.05,3.33,4,1
5.56,64.99,3.95,4,1
3.7,89.33,4.81,6,0
7.61,91.02,2.19,0,1
9.56,52.72,4.47,7,0
15.23,79.44,2.88,2,0
13.37,68.34,3.33,3,1
12.8,92.81,2.07,8,0
7.7,52.94,2.9,3,1
16.99,80.67,3.51,9,0
9.95,76.47,2.17,4,0
19.6,57.72,3.47,6,0
13.05,48.2,4.78,3,0
3.4,79.1,2.32,0,0
13.85,84.32,4.29,8,0
7.18,58.94,3.23,3,0
14.04,78.69,3.97,8,0
2.32,63.71,2.78,5,0
4.32,82.79,2.48,0,1
17.26,51.95,2.48,2,0
5.32,93.41,2.21,10,1
16.9,57.24,2.56,1,0
6.31,62.07,3.99,8,0
13.21,43.49,4.65,0,1
14.19,46.69,4.44,8,0
10.74,70.95,4.06,8,0
6.8,56.06,2.33,7,0
5.04,90.13,2.87,7,0
1.63,40.88,2.93,10,0
6.77,62.75,2.75,0,1
13.41,60.24,3.55,10,0
18.83,41.16,3.61,7,0
17.55,47.46,3.07,9,0
15.56,64.82,3.06,2,0
15.98,69.57,4.49,10,0
13.63,64.26,4.37,6,0
5.95,71.86,2.92,10,1
18.24,75.71,4.74,0,0
13.74,40.6,4.86,0,1
11.65,67.85,2.98,9,0
3.11,97.81,3.06,4,1
9.49,71.14,3.52,4,0
9.75,80.65,4.82,7,0
17.43,58.71,4.63,6,0
11.39,86.44,2.31,7,0
8.23,86.38,3.18,5,1
19.56,71.28,3.66,5,1
3.1,98.56,3.51,1,0
9.03,47.53,2.58,5,1
1.8,41.02,4.58,4,1
15.06,86.21,4.03,2,0
18.44,88.43,4.51,5,0
6.32,47.21,4.58,7,0
17.31,55.93,4.25,8,0
6.55,41.05,3.32,0,1
18.3,57.6,3.83,2,0
15.33,86.39,2.48,2,0
16.29,71.08,4.02,10,0
1.34,60.89,2.54,7,1
19.29,62.3,4.08,0,0
14.81,40.08,2.69,4,1
6.79,57.99,2.35,2,0
16.76,78.79,2.5,1,0
6.35,98.45,2.01,7,0
17.58,90.82,4.16,2,0
3.14,41.42,4.2,6,1
14.37,93.91,3.54,10,0
11.27,86.99,2.48,0,0
2.83,86.82,2.25,5,0
5.6,67.48,2.06,2,0
1.24,63.88,2.5,7,0
9.91,58.17,4.67,5,0
6.72,43.94,2.72,1,1
12.37,53.69,3.06,5,0
6.65,54.8,2.32,6,0
6.7,69.04,2.67,4,0
15.12,84.85,3.56,2,0
1.91,68.43,3.82,3,1
18.16,43.47,2.74,3,0
17.19,97.47,2.17,5,0
13.69,96.56,3.17,9,0
12.27,87.11,2.7,0,1
17.95,99.48,2.66,10,0
4.52,72.67,4.88,3,0
2.5,97.77,3.85,9,0
5.55,44.54,3.67,3,1
16.1,61.94,3.25,9,0
1.66,53.52,3.29,0,0
12.07,51.75,3.62,8,0
19.91,48.45,4.09,3,0
17.26,77.34,4.11,6,0
10.91,86.88,2.52,2,0
2.21,74.7,3.5,9,0
16.8,48.82,3.24,2,0
12.38,88.67,4.61,7,0
3.18,78.16,3.89,7,0
2.78,63.29,3.6,10,0
18.28,80.45,2.35,0,0
13.71,55.59,3.82,9,0
16.76,60.71,2.35,1,1
17.7,95.05,3.01,7,0
11.86,57.43,2.43,0,1
10.83,68.2,4.08,7,0
9.18,93.41,2.62,7,0
7.02,82.46,3.18,1,1
9.26,43.73,4.69,3,0
15.7,48.84,2.61,5,1
12.44,40.47,3.52,10,0
17.96,77.86,3.26,8,0
9.42,66.86,2.05,7,0
12.53,48.06,4.38,7,0
12.99,97.48,2.21,6,0
12.24,71.78,3.42,8,0
14.35,54.51,3.68,1,0
5.51,70.04,3.89,2,0
10.73,80.78,4.07,9,0
2.98,44.57,2.76,7,1
8.31,56.48,2.03,5,0
10.27,88.42,4.17,9,0
13.39,67.58,3.61,8,0
19.06,72.79,4.51,9,0
12.41,65.97,4.46,3,0
15.13,42.63,4.53,7,1
10.62,49.94,3.46,9,0
13.05,66.73,3.0,2,0
2.35,52.55,4.37,2,1
5.83,43.0,3.35,7,1
7.88,90.62,2.55,4,0
9.98,98.87,4.56,2,0
1.87,87.59,4.65,9,0
3.66,91.23,3.4,10,0
6.26,54.52,2.23,0,1
19.46,97.64,3.16,2,0
7.3,51.82,4.41,8,0
10.16,97.09,4.71,4,0
4.73,99.69,2.61,9,0
12.6,82.7,2.2,1,1
6.33,98.87,4.63,6,0
4.93,74.17,3.17,1,0
10.81,55.57,3.63,3,1
1.1,66.22,4.9,6,1
1.15,75.61,2.2,3,0
5.16,44.38,3.94,6,0
1.7,77.34,2.22,6,0
3.05,98.87,3.13,0,1
7.44,51.41,4.41,5,1
16.25,87.56,3.3,8,0
11.87,94.47,4.99,1,0
10.74,96.62,3.68,2,0
6.58,97.61,2.96,9,0
18.7,71.29,2.66,4,0
8.54,98.64,3.05,8,0
